duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
132138300949,605828988281,132739,918242649,225,
132519029384,607572847590,130537,959173169,238,
132460225758,607255689321,136656,936770074,223,
132801195408,608604690951,163348,988604692,272,
133351253612,611448471984,130914,1061796375,231,
132918778681,609380631325,134647,970102208,229,
133496654042,612035785560,135288,1052721429,240,
134262460769,615557783977,136518,969282225,235,
132579121395,607775818436,134730,965677070,242,
132351889349,606837101770,130433,960603364,225,
132483631991,607418142531,135165,957823069,245,
132109805191,605669056705,137489,898443618,239,
132953164488,609614570786,127538,988141163,229,
133120372174,610012113696,146090,967879108,263,
132826377262,608989924738,132699,961183735,291,
132606680414,607581418195,151407,974429564,344,
133052184246,610033725684,127684,984457561,301,
132731243388,608522884720,134278,985801421,295,
132036979327,605390912080,130623,899316436,288,
132525586491,607638543376,135509,933965147,292,
132482263169,607424272972,138948,932068299,299,
133194564895,610726320299,129326,1044589770,289,
134651583386,617286891627,139286,952750870,306,
132664656314,608326328181,128586,978416438,294,
133211479564,610786273179,132259,984508884,276,
132686686814,608363662580,132607,968184105,295,
132106796800,605857672304,118097,913547555,273,
134446559359,616531142478,127165,965794169,285,
134194433203,615317550760,128370,930975622,279,
132723683086,608762555421,110706,954770093,264,
132662546658,608273447948,127292,973018058,290,
132405949260,607168736723,124803,936723039,277,
137635290432,631159230149,124416,931301656,286,
132324272666,606721276071,132058,948373052,293,
132586613927,607805678982,135888,959780743,310,
132121564845,605806020822,130326,912229912,276,
132871587679,609403473934,117565,1003240481,268,
132448041264,607382303632,126325,953053392,276,
132779408805,608552847197,138096,974224258,330,
133121698779,610469255495,122508,1013262753,260,
132725350992,608567890065,126759,1000102697,282,
134165067414,615245716818,125856,933128246,287,
133010254045,609966428631,123599,1035825188,281,
132833839391,609098344417,137047,975877855,273,
132713317256,608644498328,119299,995898271,275,
132743131863,608584164536,130576,982402213,283,
132794269250,608983193609,124867,975810991,275,
132843402270,609226229872,124803,994917805,270,
132705446212,608501784295,131844,975527372,288,
133765995237,613420026617,129406,1077934602,278,
132501827675,607309186230,143076,955064768,310,
132244225819,606400986182,126603,932472131,274,
132785219798,608955873688,124978,959992310,283,
133072458722,610159888368,130429,1040989716,281,
132877944263,609218439634,128822,932664840,280,
132422612894,607195203422,132385,934793303,293,
133010859299,609902051068,126747,1018953356,287,
132834480031,609080410493,131078,981593367,299,
132749864279,608719076543,131468,971266778,292,
132404187628,607160037877,122381,939570524,271,
134410564105,616297445424,129355,943970612,282,
132753201421,608778160269,127231,1003927918,289,
132945029090,609283440345,138464,993170561,327,
132798868721,608897093349,135675,966478675,288,
133256671464,611109613357,124029,957262402,278,
133082762226,610157989701,136589,986622421,297,
133092409205,610222112750,138120,1013182295,304,
132464671829,607263507785,135150,933954994,310,
132762558674,608689459530,132173,976872259,305,
132612456189,608151590547,141312,982855128,280,
134884732580,618340702838,330394,1044531732,302,
132842135540,609120891934,129409,986420915,290,
138800367991,636499216723,129714,982714225,290,
132831025108,609138743606,127319,968291959,286,
133269642594,610935567207,146396,1047434502,310,
132609895497,608007803862,135295,961361209,308,
132412127634,607187216920,131254,960240849,298,
132222205968,606374047038,127406,916591716,267,
133312497699,611251105752,131268,1003154301,281,
132601885984,607997981252,133059,977692773,290,
133013875145,609955981827,125786,988860339,271,
132393681313,607062896075,158936,935082861,279,
132265279622,606458965553,135110,933875240,288,
132458899359,607396253736,131346,944813202,303,
132841463166,609202414732,119166,972117875,273,
132602691367,607960663331,133430,970047119,295,
132725039372,608651200657,129513,969114305,274,
132677738892,608467348098,123060,987928210,272,
132265823935,606428927905,131118,905527420,286,
133131052982,610560198340,125801,906522364,231,
132434345512,607257322115,129989,931249632,219,
132375613346,606944907802,135687,925819210,213,
133629567568,612810518490,125382,1075448699,214,
132687484144,608401856842,129350,979998123,218,
132599670228,607981530770,136224,970199815,221,
132535513463,607784951647,126313,960186735,204,
134570581390,617044974021,127204,979032410,218,
131963752558,605153289536,125224,897050702,217,
132916119560,609521856323,123465,1001426958,222,
132954496077,609634586541,128693,997304804,225,
