duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
60367186817,276704452565,138075,67637562,148,
60404322797,276976309314,123611,71770176,140,
60507007170,277489597675,112529,66335029,120,
60415428242,277088553076,106824,65388717,121,
60295321881,276521110204,108486,65678122,123,
60283356997,276473797989,108653,65666931,126,
60414007696,277062415276,110401,71406766,120,
60410699554,277047749128,109867,70062464,114,
60408519806,277041374302,111001,65436823,122,
60375963164,276896374751,108459,65534808,121,
60394433879,276986905899,110226,71280608,119,
60399053854,276987444702,106740,66401368,126,
60452252740,277259198476,107573,68888964,122,
60389608628,276923447046,118426,65453962,134,
61024785885,279633879850,149013,66495786,174,
60775695545,278683796588,115344,94649057,133,
60724290781,278499938171,117340,66426083,122,
60653550417,278178187290,112907,66571686,130,
60318245809,276643401327,119078,65227712,125,
60476676058,277365499347,116625,65474666,128,
60366836456,276846929755,113614,69268194,124,
60405508885,277017398538,109266,65607422,127,
60254387788,276337189861,113200,65640762,120,
60300607134,276513269628,119243,64931735,118,
60877971765,279169774892,119491,73878841,124,
61681170238,282847723607,111957,265494335,123,
60429202463,277120012372,108954,66380128,127,
60301594039,276549176960,109761,65617258,121,
60345295163,276756349273,106771,65906761,116,
60332950007,276688544821,105842,66666633,122,
60586211474,277815579516,119543,65539074,124,
60410190568,276823430384,143320,66125430,173,
60345023350,276662925549,128692,65768439,128,
60415074190,277062748084,116527,65235366,122,
60394637304,276803074384,216996,65446740,124,
60372918318,276833586083,123994,68627860,123,
60343751407,276742940262,110492,65537352,124,
60566332035,277745492765,114891,71613457,124,
60551460292,277698079075,112144,70620117,129,
60360681419,276803148295,109191,67031695,126,
60380119078,276841846062,130866,71941952,132,
61059868209,279979188820,134273,65677451,134,
60317424676,276542730883,144295,65542637,139,
60433304953,277097734736,131202,69272727,133,
60524980345,277497976048,137209,75153604,138,
60364908651,276767665453,133287,65811118,138,
60353021352,276722000676,136614,65248921,133,
60348166679,276744944659,130075,66698349,121,
60477621650,277298317020,134739,66464258,118,
60428799681,277089926090,130203,67991180,126,
60389871387,276905987649,132248,65537778,127,
60614713178,277895769649,144500,66873064,128,
60344631230,276711567114,133994,66438501,123,
60408495054,276962350293,133891,69820988,126,
64991208354,298006113659,139119,161115449,136,
60487045612,277299211196,135862,66413636,127,
60471064767,277270480782,132105,66208173,121,
60486907317,277333539120,136186,75454636,131,
60480491879,277261566264,147066,65441224,141,
60588910311,277666400452,160172,76265135,157,
60389261397,276854973690,149160,65680587,135,
60454122590,277175126033,128606,69750371,135,
60483549746,277239297487,149479,65646751,146,
60475348026,277195577491,174131,65340303,157,
60511766732,277412725898,147567,67509208,138,
60536814367,277583840358,141871,66883977,128,
60406571632,277000557689,116568,68626884,132,
60358708521,276820955271,113212,65292517,123,
60306839664,276585817946,109089,65332890,120,
60509898035,277504221588,109961,70739088,122,
60426894810,277119656209,112334,65349800,121,
60300272606,276560331904,112790,64989837,126,
60376979550,276937389690,107815,66059591,118,
60398363699,277013069417,113497,66286132,118,
60463684562,277275864748,125239,70761633,123,
60438717261,277188820176,115698,65734469,127,
60362644726,276767408062,127465,65119095,136,
60441339409,276991977136,150196,67550880,171,
60357818095,276843631870,114954,66205488,122,
60379518541,276931215008,108504,65238050,135,
60305046343,276610242428,119875,65526278,129,
60632650147,278100895107,115023,81202938,125,
60400221303,277017440980,111731,66031475,125,
60308743483,276619012261,113101,65329021,128,
60386818835,276972163497,119633,69679212,120,
60351574166,276812677534,115017,74122303,124,
60313577608,276498396933,147975,65659102,141,
60360801435,276820312638,123235,64320275,124,
60459918803,277309427417,110291,72812463,120,
60420687064,277121682096,109484,64649570,114,
60739568626,278583562560,117404,66317299,122,
60369352483,276864269041,113915,67385072,124,
60354216717,276832324446,110047,65337736,120,
60369826119,276886016296,111910,66059930,129,
60500184333,277421977862,130971,70760077,145,
60396214853,276991006225,128858,65808081,128,
60365324576,276841983708,116477,67685283,136,
60316392592,276650243865,112045,70283808,130,
60390497014,276981152233,113951,67060677,119,
60441276159,277220138088,107375,65671395,124,
