duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
501348958,2280798614,89516,49479069,3,
501162080,2289464335,82548,49433399,5,
499293490,2280017318,87764,49457288,3,
499494857,2280583889,86301,49474022,5,
501227965,2282995417,93351,49434478,3,
501471613,2285287573,105104,49452899,4,
507886862,2281699044,159411,49444721,5,
502979032,2287431332,84235,49430267,4,
508241585,2310140797,119431,49310548,4,
501711880,2282739212,84548,49435476,4,
499662838,2281448309,82759,49442880,4,
500754008,2283083937,90951,49453702,5,
499591801,2282360739,90647,49461878,5,
498930437,2280595602,84121,49460878,4,
500766143,2287786522,88336,49455149,4,
498972384,2278393329,84963,49487338,4,
500036808,2280372879,86911,49477211,5,
500139999,2284498537,87771,49459653,3,
523812726,2281002236,154428,49473349,6,
499177264,2282051287,98956,49469777,4,
499764182,2280292356,90992,49467864,4,
498777658,2280698369,93589,49437723,4,
499586544,2283415607,82440,49462985,4,
505879259,2302750250,85430,49322000,5,
501351258,2281012038,86091,49423746,4,
501533882,2281657965,84234,49442015,3,
499359774,2280524688,87038,49475925,6,
499751047,2281170225,81366,49441939,3,
501567602,2280667283,77610,49451573,4,
499154123,2280770707,82200,49457995,4,
499319947,2281589850,77628,49417049,4,
501401875,2280889266,79682,49456070,3,
499299052,2280959426,82783,49452604,4,
499800645,2283171346,84268,49449466,3,
500196823,2279363398,86547,49488052,5,
501869459,2281269407,96645,49447526,3,
499157605,2280574750,83470,49443941,4,
506856873,2280434808,153242,49469737,3,
499880655,2281155391,125640,49483494,4,
499423217,2280085481,94632,49451923,3,
498685758,2278950853,75071,49487002,4,
498745165,2279631845,74383,49446399,4,
499383508,2281483085,83604,49437129,5,
498836758,2279812375,79112,49477927,4,
499336341,2281389037,81137,49465528,4,
499448633,2281465146,83945,49430184,3,
501370423,2280959079,83644,49439079,4,
501590611,2281933016,83211,49450172,3,
502310911,2283806676,121875,49434096,4,
498828014,2279779664,88877,49465107,4,
501257384,2280053574,79943,49447859,5,
498623886,2277896168,83594,49469999,3,
498748073,2278191715,80428,49457249,4,
499595437,2282544847,85208,49452405,3,
499899121,2281207172,85445,49460115,5,
499309593,2279754615,92262,49448105,3,
499418967,2282257528,79661,49431706,5,
499838992,2280883106,87450,49458247,3,
502144055,2281110308,89418,49431273,6,
498505072,2278560663,84364,49480840,3,
504318144,2304127887,84770,49320010,3,
499530591,2281177599,85101,49443876,4,
498797420,2277975427,86142,49453970,4,
499192624,2281967138,78645,49442995,3,
501824595,2282895908,92106,49414898,4,
501179691,2280315761,83709,49447139,4,
502794297,2286812864,84507,49419612,5,
502259995,2282198225,87545,49428662,4,
502846119,2285108659,121988,49429701,4,
499677712,2281374036,94905,49475575,4,
499981083,2281156941,92710,49429543,3,
498710155,2279487242,91342,49457735,4,
499357259,2281308059,86659,49459402,4,
499823611,2282375174,84604,49438805,4,
499799850,2281380749,87056,49462358,5,
501235856,2281533728,91821,49460540,5,
499339838,2281017208,97181,49461530,4,
499230585,2280563581,88285,49459225,4,
502339850,2282909795,123658,49439779,3,
500892111,2278819284,92150,49441210,5,
500938835,2279027177,84986,49458509,3,
502310696,2284684714,83139,49433415,4,
501080482,2280198622,85874,49449318,5,
498741453,2279896730,80784,49482224,5,
498511606,2278300036,79204,49472921,3,
500445828,2285591828,82389,49461109,5,
499271184,2281410216,81221,49446253,4,
499847080,2282867684,85711,49451656,4,
499982057,2281237274,124072,49472630,4,
499599246,2281074855,91378,49455131,4,
498818129,2278054201,85449,49488494,3,
499072474,2280729880,80317,49444756,4,
498917871,2280636061,83243,49451776,4,
499019061,2279848241,83536,49430736,4,
498953650,2280042293,84429,49455959,3,
500402625,2281585594,82883,49446040,5,
499281825,2280217748,84827,49457874,3,
503071860,2283122752,158849,49456718,5,
502053733,2282489286,89206,49448263,3,
499162458,2280380420,87638,49477274,4,
